number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at
2682,setState in componentWillUpdate should return a proper error,1418126403,1499811469,1499811469.0,bitplanets,0,3,closed,0,NONE,9,0,0,0,0,0,0,0,0,0,1250405.0,Bit Planets,0,4,12,3,1417191177,1456612211
2770,"When returning null, <noscript /> tag is always rerendered",1419376808,1446523396,1441861774.0,zpao,1,1,closed,0,MEMBER,11,0,0,0,0,0,0,0,0,0,3277095.0,@facebook ,4877,24,160,94,1209098302,1728240492
2988,ReactMount.nodeCache is repopulated with purged nodes that are focused at unmount,1422653903,1459634617,1459634617.0,syranide,0,2,closed,0,CONTRIBUTOR,13,0,0,0,0,0,0,0,0,0,1224774.0,Cetrez,198,3,4,0,1336414389,1728197811
3146,createNodesFromMarkup renders with global document,1423878677,1494575632,1494575632.0,syranide,0,1,closed,0,CONTRIBUTOR,1,0,0,0,0,0,0,0,0,0,686832.0,Cetrez,198,3,4,0,1336414389,1728197811
3225,JSXTransformer breaks when creating source maps and defineProperty not available,1424565509,1434652129,1434652129.0,Daniel15,0,1,closed,0,MEMBER,4,0,0,0,0,0,0,0,0,0,742175.0,@Facebook,1394,98,326,68,1244138327,1729297693
3298,React fails to unmount component from within event handler,1425307684,1522971742,1492809778.0,slorber,0,2,closed,0,CONTRIBUTOR,14,2,0,0,0,0,0,0,0,2,45123.0,This Week In React,1832,30,298,80,1303685451,1727263227
3302,MozMacOSXFontSmoothing is rendered incorrectly,1425352807,1439573667,1426097507.0,petehunt,0,1,closed,0,CONTRIBUTOR,13,0,0,0,0,0,0,0,0,0,155363.0,Dagster Labs,6018,1,196,28,1270751661,1728591856
3313,TypeError when parent Component is updated after uncaught exception in child Component's componentWillMount,1425508170,1425549434,1425549434.0,adamziel,0,1,closed,0,NONE,2,0,0,0,0,0,0,0,0,0,80511.0,Automattic,166,13,90,23,1266426560,1729464175
3328,node PropType validation hits error with null values,1425588681,1425933806,1425933806.0,zpao,0,1,closed,0,MEMBER,0,0,0,0,0,0,0,0,0,0,103416.0,@facebook ,4877,24,160,94,1209098302,1728240492
3340,Context not updated on Component mounted with React.render(),1425692097,1425932834,1425932834.0,jquense,0,1,closed,0,CONTRIBUTOR,5,0,0,0,0,0,0,0,0,0,147538.0,,2341,9,229,42,1279685047,1727781630
3344,Invoking renderToStaticMarkup in render() causes refs to break,1425839635,1527525132,1527525132.0,masonicboom,0,2,closed,0,NONE,21,0,0,0,0,0,0,0,0,0,605790.0,,0,0,66,20,1242869777,1729457243
3418,replaceState throws away functions in 0.13,1426445425,1440521351,1431116203.0,WishCow,0,1,closed,0,NONE,20,0,0,0,0,0,0,0,0,0,1952136.0,,4,0,21,5,1312904706,1715071421
3606,"setting attribute ""style"" to null breaks this attribute",1428397561,1428437611,1428437611.0,firlaj,1,1,closed,0,NONE,1,0,0,0,0,0,0,0,0,0,524177.0,,0,0,2,0,1323438450,1648640708
3659,change event is not fired for input type=date,1428921738,1535287793,1502365170.0,dan-codes-16,0,2,closed,1,NONE,23,0,0,0,0,0,0,0,0,0,729057.0,,9,2,18,5,1315380574,1725029706
3713,Component rendering null always triggers a DOM update,1429650795,1430377773,1430377773.0,leoasis,0,2,closed,0,NONE,4,0,0,0,0,0,0,0,0,0,439617.0,Twitter,302,40,77,7,1278732586,1709052685
3751,React's blur may not have relatedTarget in IE 9-11 where it is supported.,1430090412,1597082207,1597082207.0,dantman,0,3,closed,0,CONTRIBUTOR,16,15,0,0,0,0,0,0,0,15,295945.0,@redwerks ,117,3,316,59,1234288736,1724181894
3790,"Bad interaction between React ""click"" event handler and native ""click"" event handler",1430386357,1442940844,1442940844.0,rigdern,0,1,closed,0,CONTRIBUTOR,7,0,0,0,0,0,0,0,0,0,23016.0,Microsoft,68,6,55,2,1265675144,1729144477
3792,"Uncaught Error: ""Unable to find element"" when updating the innerhtml of an Option element.",1430409373,1430417868,1430417863.0,Surreal9,0,1,closed,0,NONE,4,0,0,0,0,0,0,0,0,0,67759.0,Hypergiant,7,1,16,13,1369422559,1728881789
3799,React can mount with <div placeholder=x> but does not update placeholder attribute,1430477132,1455146665,1455146665.0,slorber,0,1,closed,0,CONTRIBUTOR,8,0,0,0,0,0,0,0,0,0,1712698.0,This Week In React,1832,30,298,80,1303685451,1727263227
3926,Change event fires extra times before IME composition ends,1432189830,1704944197,,chenxsan,0,2,open,0,NONE,56,34,0,0,0,0,0,0,0,34,3404108.0,,384,56,197,19,1317344988,1729215633
4251,mouseenter fires on disabled inputs whereas mouseleave does not,1435593938,1595265538,1582751335.0,jquense,0,2,closed,0,CONTRIBUTOR,39,26,0,0,0,0,0,0,0,26,774980.0,,2341,9,229,42,1279685047,1727781630
4316,Example of using TestUtils.Simulate.change on a multiple select field.,1436368918,1515187456,1515187456.0,gruntruk,0,2,closed,0,NONE,2,0,0,0,0,0,0,0,0,0,92017.0,SalesLoft,8,13,17,8,1229604525,1713911832
4323,Checksum inserted incorrectly for self-closing root tags,1436460935,1470184997,1436476987.0,zpao,0,3,closed,0,MEMBER,2,0,0,0,0,0,0,0,0,0,22077.0,@facebook ,4877,24,160,94,1209098302,1728240492
4333,renderToString incorrectly supports select's defaultValue,1436483012,1436483594,1436483594.0,nkt,0,1,closed,0,NONE,2,0,0,0,0,0,0,0,0,0,490589.0,,86,0,126,60,1360275120,1724233056
4388,Unexpected behavior of `findRenderedDOMComponentWithTag` in React 0.14-beta1,1436973601,1438134060,1438134060.0,EvHaus,0,2,closed,0,NONE,3,0,0,0,0,0,0,0,0,0,968584.0,@ZenhubHQ,41,7,80,0,1269065172,1729089035
4492,`onMouseLeave` can be unreliable in Chrome,1437942185,1701180393,1507073090.0,petehunt,0,2,closed,0,CONTRIBUTOR,25,3,0,0,0,0,0,0,0,3,169022.0,Dagster Labs,6018,1,196,28,1270751661,1728591856
4511,Yet Another Invariant Violation: ReactMount: Two valid but unequal nodes with the same `data-reactid`,1438111207,1438134592,1438134591.0,dmin,0,1,closed,0,CONTRIBUTOR,3,0,0,0,0,0,0,0,0,0,227136.0,,5,0,11,0,1282417859,1719328391
4533,Callback ref is passed null and then the component again,1438338343,1535555677,1438375303.0,ide,0,1,closed,1,CONTRIBUTOR,28,9,0,0,0,0,0,0,0,9,1768492.0,@expo,1091,21,173,25,1283072268,1721535739
4672,Change event does not fire in IE and Edge under certain circumstances,1440106835,1534886759,1531690908.0,iclanzan,0,2,closed,0,NONE,7,0,0,0,0,0,0,0,0,0,945880.0,,42,4,75,2,1338571530,1719005024
4745,Target value sometimes undefined,1441052715,1627229610,1441836574.0,mnlfischer,0,2,closed,0,NONE,10,0,0,0,0,0,0,0,0,0,951766.0,@abusix,15,32,2,0,1363444010,1729328155
4854,Pressing spacebar on a checked radio button only fires click in some browsers,1442004481,1534886759,1531620056.0,matchu,1,2,closed,0,CONTRIBUTOR,6,0,0,0,0,0,0,0,0,0,51927.0,,33,2,69,18,1235955187,1725643902
4856, Stateless function components do not work with native arrow functions,1442056408,1442430159,1442430159.0,ntkoopman,0,1,closed,0,NONE,3,0,0,0,0,0,0,0,0,0,2431647.0,,9,0,25,0,1337776306,1727242320
5121,Page messed up: facebook.github.io/react/html-jsx.html,1444488055,1444600880,1444600880.0,serprime,0,2,closed,0,NONE,2,0,0,0,0,0,0,0,0,0,2109786.0,,8,14,24,1,1285590867,1700495417
5383,After server-side renderToString() component claims it isMounted() ,1446597841,1471559587,1471559587.0,RickWong,0,1,closed,0,NONE,14,0,0,0,0,0,0,0,0,0,4117470.0,,377,668,50,7,1229111136,1723107271
